nct_id,title,phase,study_type,status,condition,interventions,country,start_date,primary_completion_date,completion_date,last_update
NCT05349227,Comprehensive Outcomes for After Cancer Health,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States",,,,
NCT06518837,Tirzepatide for Weight Loss Intervention in Early-Stage Hormone Receptor Positive/HER2 Negative Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States",,,,
NCT06324357,Beamion BCGC-1: A Study to Find a Suitable Dose of Zongertinib Used Alone and in Combination With Other Treatments to Test Whether it Helps People With Different Types of HER2+ Cancer That Has Spread,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, United States, Belgium, Belgium, Belgium, Belgium, Belgium, Belgium, China, China, China, China, China, China, China, China, France, France, France, France, France, France, France, France, France, France, France, Germany, Germany, Germany, Germany, Germany, Germany, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Italy, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, South Korea, South Korea, South Korea, South Korea, South Korea, South Korea, South Korea, South Korea, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, Spain, United Kingdom, United Kingdom, United Kingdom, United Kingdom, United Kingdom, United Kingdom, United Kingdom",,,,
NCT06428682,Role of TXA in Patients Undergoing Breast Free Flap Reconstruction,,N/A,RECRUITING,,,United States,,,,
NCT05755984,3D Printed Breast Models in the Surgical Management of Breast Cancer,,N/A,RECRUITING,,,United States,,,,
NCT05064098,Interpretations and Predictions of Patient Reported Outcomes by Breast Cancer Patients,,N/A,RECRUITING,,,United States,,,,
NCT06110793,"A Study of Lenvatinib, Pembrolizumab, and Fulvestrant in People With Breast Cancer",,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States",,,,
NCT03449238,Pembrolizumab And Stereotactic Radiosurgery (Srs) Of Selected Brain Metastases In Breast Cancer Patients,,N/A,RECRUITING,,,"United States, United States, United States",,,,
NCT07216274,Quantitative Transmission Imaging Compared With MRI as Supplemental Screening for High Lifetime Risk of Breast Cancer,,N/A,RECRUITING,,,United States,,,,
NCT07115043,A Study to Investigate Safety of AZD6750 in Adult Participants With Select Advanced or Metastatic Solid Tumors,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, Australia, Japan, Japan",,,,
NCT06441890,BRE-10: Biomarker Optimization of Neoadjuvant Therapy in Breast Cancer,,N/A,RECRUITING,,,United States,,,,
NCT07029490,"Enhancing Mammography Programs for Outreach, Wellness, Education, and Resources (EMPOWER) in Underserved Populations Study",,N/A,RECRUITING,,,United States,,,,
NCT06534125,Acutherapy to Prevent Aromatase Inhibitor-Associated Arthralgias in Non-Hispanic Black Postmenopausal Women with Early-Stage Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States, United States",,,,
NCT04563507,Combined Immunotherapies in Metastatic ER+ Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States",,,,
NCT01174121,Immunotherapy Using Tumor Infiltrating Lymphocytes for Patients With Metastatic Cancer,,N/A,RECRUITING,,,United States,,,,
NCT00034216,Collection of Blood From Patients With Cancer,,N/A,RECRUITING,,,United States,,,,
